city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller type,locality,pincode,age
Bangalore,2020.0,Honda,City,1.5L I-VTEC V MT 5TH GEN,50208.0,Petrol,Manual,KA-04,648000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2016.0,Hyundai,Verna,1.6 CRDI SX (O),90522.0,Diesel,Manual,KA-22,390000.0,Mass Market,Direct Seller,bellahalli,560064.0,10.0
Bangalore,2017.0,Hyundai,Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,40780.0,Petrol,Manual,KA-03,410000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2023.0,Mahindra,Thar,LX P 2WD AT HT,30257.0,Petrol,Automatic,KA-02,1025000.0,Mass Market,Direct Seller,bellahalli,560066.0,3.0
Bangalore,2018.0,Volkswagen,Vento,1.2 TSI HIGHLINE PLUS AT,87680.0,Petrol,Automatic,KA-05,534000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2021.0,Datsun,Redi Go,A,92349.0,Petrol,Manual,KA-12,245000.0,Mass Market,Direct Seller,bhoruka tech park,560066.0,5.0
Bangalore,2022.0,Hyundai,NEW I20,ASTA (O) 1.2 MT,34455.0,Petrol,Manual,KA-32,670000.0,Mass Market,Direct Seller,bellahalli,560009.0,4.0
Bangalore,2018.0,Hyundai,Creta,SX PLUS AT 1.6 PETROL,84456.0,Petrol,Automatic,KA-01,635000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2019.0,Maruti Suzuki,Swift,VDI,81080.0,Diesel,Manual,KA-33,562000.0,Mass Market,Direct Seller,kodigehalli,560060.0,7.0
Bangalore,2021.0,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,88218.0,Petrol,Automatic,KA-51,680000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2019.0,Hyundai,Creta,SX AT 1.6 PETROL,67200.0,Petrol,Automatic,KA-01,762000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2017.0,Maruti Suzuki,Baleno,ZETA PETROL 1.2,80395.0,Petrol,Manual,KA-03,456000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2020.0,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,59393.0,Petrol,Automatic,KA-04,667000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
